,0,1,2
0,1,[0.71922703 0.86329251 0.34929113 0.01267919],434.6052034128743
1,2,[0.71922703 0.86329251 0.34929113 0.01267919],491.4511761369786
2,3,[0.71922703 0.86329251 0.34929113 0.01267919],520.5066425610648
3,4,[0.71922703 0.86329251 0.34929113 0.01267919],462.65995585592555
4,5,[0.71922703 0.86329251 0.34929113 0.01267919],437.70401603513073
5,6,[0.71922703 0.86329251 0.34929113 0.01267919],401.506133173561
6,7,[0.71922703 0.86329251 0.34929113 0.01267919],477.4926032354033
7,8,[0.71922703 0.86329251 0.34929113 0.01267919],506.71921858416044
8,9,[0.71922703 0.86329251 0.34929113 0.01267919],447.47301113849335
9,10,[0.71922703 0.86329251 0.34929113 0.01267919],463.5309671465652
