,0,1,2
0,1,[0.71929164 0.59766672 0.35487906 0.0085406 ],381.838189056431
1,2,[0.74731744 0.55753964 0.34160618 0.12945713],394.0062836321904
2,3,[0.68213602 0.5612859  0.33605162 0.16280793],399.9912823799177
3,4,[0.70688169 0.65230959 0.36310022 0.17328762],373.43269516425835
4,5,[0.74981264 0.57175103 0.37987537 0.13934667],343.07686093792336
5,6,[0.69598424 0.60202    0.35032397 0.12019329],332.3117648909215
6,7,[0.73309406 0.6841364  0.37321126 0.12885322],335.3500167016705
7,8,[0.61859711 0.63242804 0.35963631 0.17642122],383.4065011164853
8,9,[0.79196787 0.60807517 0.3663598  0.02778121],365.460084900853
9,10,[0.70826516 0.62255281 0.35841721 0.15803696],377.0885122138916
10,11,[0.72440457 0.64718681 0.39261058 0.15052424],368.7062995284723
11,12,[0.74297877 0.66507058 0.38492614 0.13172121],388.1513038808448
12,13,[0.74829476 0.67323833 0.34637356 0.0728204 ],358.4417607290625
13,14,[0.76402912 0.66138945 0.36654156 0.03868235],391.17784713012725
14,15,[0.76916227 0.60861946 0.36024218 0.11810848],373.27001890311203
15,16,[0.76391443 0.66183976 0.37590039 0.15425109],329.2406823879064
16,17,[0.70208142 0.54371305 0.34877375 0.08428354],355.08526237986825
17,18,[0.72912116 0.65904218 0.37385556 0.07301752],387.15327556919556
18,19,[0.76244267 0.65948651 0.36430949 0.21759012],378.31028388202276
19,20,[0.77472972 0.64232662 0.35100132 0.13779665],380.6688657656241
20,21,[0.76248542 0.66421308 0.37871497 0.1388001 ],372.1425870223202
21,22,[0.77313232 0.61742824 0.34275197 0.06467873],382.8543328058713
22,23,[0.74708663 0.53464791 0.3484396  0.21076763],370.40315029493695
23,24,[0.5252227  0.63065812 0.38033715 0.13864818],371.57007729627185
24,25,[0.58898171 0.58983014 0.37551593 0.16098527],341.82483278645805
25,26,[0.6340256  0.61042714 0.36313506 0.15599191],420.9329141420294
26,27,[0.79302618 0.62916669 0.3920887  0.15640023],365.4135782146186
27,28,[0.76972849 0.68823    0.36863844 0.19223012],356.4235786640411
28,29,[0.70002479 0.65895924 0.37168633 0.21215011],352.58815175010886
29,30,[0.79217993 0.60170267 0.35205624 0.11592881],345.5987991853849
30,31,[0.79398797 0.63845592 0.35456993 0.17361102],369.5220782231322
31,32,[0.76197418 0.47325046 0.35866009 0.05152726],360.51240847939334
32,33,[0.72843086 0.61060206 0.37894627 0.1255664 ],392.98102544727135
33,34,[0.78631974 0.6828579  0.3697961  0.15733519],373.58352433828077
34,35,[0.72653121 0.64354109 0.36856443 0.06849069],377.1583660060742
35,36,[0.73943223 0.66815673 0.40222871 0.07914644],352.8252781647516
36,37,[0.63712546 0.61623005 0.37630988 0.14334291],397.732492561172
37,38,[0.73398972 0.65702874 0.37434289 0.1338122 ],369.1328524084365
38,39,[0.70890896 0.60868752 0.36858698 0.12586968],373.3272259599503
39,40,[0.72841762 0.57243689 0.35524249 0.17423744],332.6654150132804
40,41,[0.78448423 0.65725425 0.37066402 0.19057928],356.57390892601506
41,42,[0.58177502 0.63749883 0.36258083 0.07378145],395.0436881946184
42,43,[0.72732909 0.6240229  0.39110539 0.04233591],420.6803116853189
43,44,[0.53978995 0.6021624  0.34701714 0.02993031],358.0995689699462
44,45,[0.7169174  0.55828927 0.34654608 0.12835071],368.6682996958202
45,46,[0.78284578 0.58072255 0.3791024  0.13493299],375.6250313409241
46,47,[0.63535767 0.58902072 0.36869875 0.06680082],378.7525376112244
47,48,[0.75890992 0.53528831 0.35533929 0.02598204],365.3935683396544
48,49,[0.74002844 0.63766665 0.37623461 0.16694686],337.45084562726424
49,50,[0.71601491 0.59706405 0.37280677 0.21207731],367.4288441109152
50,51,[0.74216763 0.61315265 0.35086935 0.14215965],356.4635515111804
51,52,[0.77591431 0.60098349 0.34004004 0.12416269],384.10936906685305
52,53,[0.69913075 0.5944233  0.34310498 0.18259741],371.6016655915705
53,54,[0.71985484 0.64290714 0.3686229  0.18995843],365.4415044419129
54,55,[0.70743053 0.62710235 0.33935431 0.07478571],378.31842722588954
55,56,[0.74298294 0.66111997 0.36541249 0.04707501],388.6986147698167
56,57,[0.73685823 0.66956253 0.37457681 0.09087146],355.30219279942366
57,58,[0.75817101 0.68046415 0.35767839 0.01710143],413.9859975918275
58,59,[0.69645854 0.60766834 0.36834116 0.18376072],382.91994257433726
59,60,[0.74761063 0.63469262 0.38216789 0.18597077],377.52943404311014
60,61,[0.78760632 0.57200396 0.33872686 0.20411328],387.5935322052833
61,62,[0.77291369 0.66791276 0.42479678 0.14784714],393.22633072426333
62,63,[0.71549359 0.58159454 0.35581881 0.21363495],347.5990363444098
63,64,[0.65014868 0.59891966 0.3759673  0.04977016],378.47846980086985
64,65,[0.73297272 0.64262941 0.39147596 0.11537273],374.5552177481577
65,66,[0.55716532 0.64407254 0.37306593 0.08632393],392.56776771175055
66,67,[0.67912722 0.62270943 0.35085833 0.15147451],377.86318326241735
67,68,[0.75509406 0.67144385 0.40375797 0.19778889],390.03569944770067
