,0,1,2
0,1,[0.46498784 0.68121484 0.48072699 0.15892974],221.9803345245946
1,2,[0.57033815 0.66413453 0.34999148 0.13710303],248.92551221154102
2,3,[0.49196716 0.70943019 0.3275968  0.19670944],269.6085344583421
3,4,[0.59863705 0.71980753 0.4373056  0.03884787],230.91059381668606
4,5,[0.57133028 0.62008089 0.37787273 0.1544756 ],234.98879807942967
5,6,[0.41948649 0.73832949 0.36036204 0.07285484],203.68260846506791
6,7,[0.41074007 0.76532258 0.41624879 0.16706298],243.22445036615545
7,8,[0.58660262 0.64306845 0.42608847 0.0458638 ],264.3637913277212
8,9,[0.55150034 0.61077454 0.365534   0.18106962],258.5755466435294
9,10,[0.60514214 0.65255434 0.40937134 0.13041789],234.48906179407572
10,11,[0.4404188  0.6345544  0.38067999 0.12157524],209.7767991267183
11,12,[0.58790713 0.63985744 0.34672248 0.15805714],293.3904506529966
12,13,[0.33107855 0.75258336 0.38065058 0.11121237],207.74212986934572
13,14,[0.4605171  0.73264967 0.38160162 0.16606303],251.47489398744347
14,15,[0.57904773 0.61589655 0.42666708 0.17477811],246.66862556951355
15,16,[0.56573502 0.57710942 0.37391614 0.17274657],250.88454673373553
16,17,[0.58315661 0.62913949 0.33835128 0.06556103],272.2179503093944
17,18,[0.52936083 0.74435857 0.51720907 0.22486945],233.115629671767
18,19,[0.58190265 0.61643499 0.40079897 0.22364549],230.51593803084256
